Category: All categories

Month,data journalism: (Worldwide)
2008-12,6
2009-01,6
2009-02,0
2009-03,5
2009-04,20
2009-05,13
2009-06,16
2009-07,0
2009-08,13
2009-09,12
2009-10,9
2009-11,14
2009-12,7
2010-01,11
2010-02,16
2010-03,8
2010-04,9
2010-05,8
2010-06,19
2010-07,14
2010-08,17
2010-09,17
2010-10,33
2010-11,28
2010-12,26
2011-01,40
2011-02,18
2011-03,30
2011-04,16
2011-05,37
2011-06,35
2011-07,18
2011-08,18
2011-09,31
2011-10,24
2011-11,40
2011-12,31
2012-01,26
2012-02,39
2012-03,41
2012-04,78
2012-05,88
2012-06,58
2012-07,40
2012-08,45
2012-09,48
2012-10,44
2012-11,57
2012-12,38
2013-01,52
2013-02,61
2013-03,66
2013-04,82
2013-05,71
2013-06,57
2013-07,60
2013-08,52
2013-09,51
2013-10,67
2013-11,83
2013-12,45
2014-01,52
2014-02,77
2014-03,71
2014-04,69
2014-05,84
2014-06,66
2014-07,64
2014-08,59
2014-09,69
2014-10,68
2014-11,63
2014-12,40
2015-01,50
2015-02,52
2015-03,64
2015-04,68
2015-05,66
2015-06,52
2015-07,64
2015-08,42
2015-09,60
2015-10,61
2015-11,79
2015-12,67
2016-01,60
2016-02,60
2016-03,73
2016-04,88
2016-05,92
2016-06,64
2016-07,59
2016-08,49
2016-09,66
2016-10,64
2016-11,73
2016-12,59
2017-01,64
2017-02,90
2017-03,100
2017-04,82
2017-05,75
2017-06,69
2017-07,52
2017-08,66
2017-09,61
2017-10,77
2017-11,85
2017-12,68
2018-01,81
2018-02,77
2018-03,82
2018-04,82
2018-05,61
2018-06,57
2018-07,59
2018-08,65
2018-09,72
2018-10,70
2018-11,74
