Category: All categories

Month,data journalism: (Worldwide),digital journalism: (Worldwide)
2004-01,41,41
2004-02,0,41
2004-03,0,100
2004-04,0,39
2004-05,33,34
2004-06,0,50
2004-07,0,70
2004-08,0,49
2004-09,30,45
2004-10,0,46
2004-11,0,0
2004-12,0,57
2005-01,25,50
2005-02,26,53
2005-03,22,66
2005-04,0,50
2005-05,22,43
2005-06,0,33
2005-07,0,22
2005-08,21,32
2005-09,0,20
2005-10,0,64
2005-11,18,54
2005-12,0,18
2006-01,0,31
2006-02,0,24
2006-03,41,48
2006-04,15,37
2006-05,0,81
2006-06,14,43
2006-07,14,14
2006-08,0,33
2006-09,13,26
2006-10,12,23
2006-11,22,39
2006-12,0,35
2007-01,0,36
2007-02,11,21
2007-03,0,56
2007-04,0,53
2007-05,33,50
2007-06,9,26
2007-07,0,26
2007-08,8,37
2007-09,8,24
2007-10,18,32
2007-11,14,28
2007-12,7,30
2008-01,10,23
2008-02,7,57
2008-03,9,28
2008-04,9,65
2008-05,12,52
2008-06,12,31
2008-07,6,37
2008-08,12,24
2008-09,11,36
2008-10,5,23
2008-11,5,35
2008-12,0,35
2009-01,5,41
2009-02,0,20
2009-03,9,43
2009-04,9,43
2009-05,9,31
2009-06,4,20
2009-07,7,16
2009-08,9,37
2009-09,10,40
2009-10,8,29
2009-11,6,43
2009-12,4,35
2010-01,9,43
2010-02,12,29
2010-03,10,37
2010-04,7,25
2010-05,9,28
2010-06,14,36
2010-07,12,30
2010-08,7,33
2010-09,24,41
2010-10,24,61
2010-11,28,39
2010-12,24,49
2011-01,24,42
2011-02,18,37
2011-03,20,48
2011-04,11,43
2011-05,22,51
2011-06,37,29
2011-07,10,40
2011-08,15,36
2011-09,30,31
2011-10,26,58
2011-11,20,97
2011-12,26,54
2012-01,32,57
2012-02,36,51
2012-03,43,53
2012-04,52,34
2012-05,70,33
2012-06,46,35
2012-07,27,37
2012-08,35,36
2012-09,38,62
2012-10,45,51
2012-11,44,59
2012-12,39,34
2013-01,48,37
2013-02,40,41
2013-03,47,42
2013-04,63,56
2013-05,57,53
2013-06,50,39
2013-07,44,44
2013-08,41,39
2013-09,51,47
2013-10,61,56
2013-11,64,46
2013-12,35,37
2014-01,45,44
2014-02,60,64
2014-03,53,51
2014-04,44,50
2014-05,84,49
2014-06,57,35
2014-07,59,29
2014-08,51,36
2014-09,42,48
2014-10,60,43
2014-11,63,63
2014-12,39,49
2015-01,31,45
2015-02,56,51
2015-03,55,76
2015-04,54,57
2015-05,52,55
2015-06,48,48
2015-07,40,38
2015-08,41,50
2015-09,53,61
2015-10,59,62
2015-11,68,59
2015-12,52,45
2016-01,50,45
2016-02,61,67
2016-03,63,61
2016-04,80,64
2016-05,79,56
2016-06,56,48
2016-07,38,36
2016-08,43,45
2016-09,51,58
2016-10,52,58
2016-11,57,70
2016-12,43,58
2017-01,61,65
2017-02,65,64
2017-03,79,76
2017-04,66,60
2017-05,53,61
2017-06,51,47
2017-07,51,42
2017-08,48,45
2017-09,52,48
2017-10,57,55
2017-11,70,70
2017-12,56,47
2018-01,60,55
2018-02,64,64
2018-03,65,58
2018-04,62,63
2018-05,56,62
2018-06,43,45
2018-07,44,44
2018-08,51,49
2018-09,52,48
2018-10,51,59
2018-11,56,59
2018-12,17,65
