ID,Title,Organisation,school/sub-org,Country,Full programme / Module,Level,Start year of prog/module,Latest offering,Lat,Long,Homepage,Syllabus,instructor 1,instructor Academic/Professional,instructor 2,Instructor Twitter
BH1,Data Visualization,University of Nebraska-Lincoln,School of Journalism and Mass Communication,USA,Programme,UG,,2017,40.820739,-96.700491,https://github.com/mattwaite/JOUR491-Data-Visualization,N/A,Matt Waite,Academic,,@mattwaite
BH10,Computer-Assisted Reporting,University of Maryland,,USA,,,,2012,39.2886143,-76.6230002,http://jclass.umd.edu/cars/772/syllabus.htm,,Dan Keating,,,
BH100,Data Visualization,Rice University,Department of Statistics,USA,Module,PG,,2011,29.7167914,-95.4047811,http://had.co.nz/stat645/,http://had.co.nz/stat645/syllabus.html,Hadley Wickham,Academic,,@hadleywickham
BH101,Introduction to Data Analysis,Rice University,Department of Statistics,USA,Module,UG,,2012,29.7167914,-95.4047811,http://stat405.had.co.nz/,http://stat405.had.co.nz/syllabus.html,Hadley Wickham,Academic,,@hadleywickham
BH103,Advanced Reporting,University of North Carolina at Chapel Hill,School of Journalism and Mass Communication,USA,Module,UG,,2008,35.9124444,-79.0473761,,http://www.unc.edu/~pmeyer/JOMC453.html,Philip Meyer,Academic,Joe Hellerstein,@PhilipMeyer_
BH104,Research Techniques,University of Regina,School of Journalism,Canada,Module,UG,,2017,50.4152275,-104.589,https://www.uregina.ca/arts/journalism/courses/course-outlines.html,http://www.patriciaelliott.ca/wp-content/uploads/2015/07/Reseach-syllabus-2013.docx,Patricia Elliott,Professional,,
BH105,Data Journalism: The Basics,Kadir Has University,Faculty of Communication,Turkey,Module,PG,,2018,34.36594,-89.52536,,https://github.com/pinardag/data-journalism-course/blob/master/Data%20Journalism%20Syllabus_2018.pdf,Pinar Dag,Academic,,@pinardag
BH106,Data Visualization,University of Texas at Austin,School of Journalism,USA,Module,PG,,2016,30.284151,-97.731956,,http://journalism.utexas.edu/sites/journalism.utexas.edu/files/07915-McDonald.pdf,Christian McDonald,Professional,,@crit
BH107,Data Skills,City University of New York,Graduate School of Journalism,USA,Module,PG,,2017,40.7485188,-73.9836393,http://amandabee.github.io/CUNY-data-skills/,http://amandabee.github.io/CUNY-data-skills/,Amanda Hickman,Professional,Ira Chinoy,@amandabee
BH108,Data Visualization,Emerson College,Department of Journalism,USA,Module,PG,,2017,42.35238,-71.06558,https://word.emerson.edu/dataviz/,https://docs.google.com/document/d/1wTMXJpejmCX7itXDdhGSa3XSl4-8VxuYb-gbH8eUuLI/edit,Catherine D'Ignazio,Academic,,@kanarinka
BH109,Dealing with Data,New York University,School of Business,USA,Module,PG,,2014,40.7292641,-73.9962683,http://ipeirotis.github.io/DwD/,http://ipeirotis.github.io/DwD/syllabus/,Panos Ipeirotis,Academic,Paul Bradshaw,@ipeirotis
BH11,Data Science: Analytics and Visualization,New York University,School of Professional Studies,USA,Programme,CPD,,2017,40.7292641,-73.9962683,https://www.sps.nyu.edu/professional-pathways/topics/technology/data-science-analytics-and-visualization.html,https://www.sps.nyu.edu/professional-pathways/topics/technology/data-science-analytics-and-visualization.html,,,,
BH110,Computer-Assisted Reporting,Columbia College Chicago,School of Media Arts,USA,Module,,,2006,41.8742404,-87.6247913,http://archive.is/vuQYf,,Barbara K. Iverson,Academic,,@drbarb
BH111,Managing Data Journalism Projects,Learno.net,European Journalism Centre,Netherlands,MOOC,MOOC,,2017,,,http://learno.net/courses/managing-data-journalism-projects,,Jacopo Ottaviani,Professional,,@jacopoottaviani
BH112,Online Journalism,Drexel University,College of Arts and Sciences,USA,Module,,,2006,39.9574,-75.1902671,http://futureofjourn.blogspot.com/,http://archive.is/GYuHz,Ron Bishop,Academic,,
BH113,Web Programming for Multimedia Journalism,Kent State University,School of Journalism and Mass Communication,USA,Module,,,2014,41.1443525,-81.3398283,,http://jamesraber.com/course_materials/WPMJ-Syllabus-Fall14.pdf,Jacqueline Marino,Academic,,
BH114,Visualizing Data,Western Kentucky University,School of Journalism and Broadcasting,USA,Module,UG,,2015,36.9845317,-86.4576443,http://joshmeltzer.com/teaching/jour241/,http://joshmeltzer.com/teaching/jour241/syllabus/,Josh Meltzer,Professional,Amanda Hickman,@joshmeltzer
BH115,GeoData Journalism,George Mason University,Department of Geography and Geoinformation Science,USA,Module,PG,,2016,38.885078,-77.1010391,,https://cos.gmu.edu/ggs/wp-content/uploads/sites/5/2015/12/Spring_2016_GGS590_004_Pfoser.pdf,Dieter Pfoser,Academic,Amanda Hickman,@dpfoser
BH116,"News & Numbers: Lies, Statistics, and the Stories Media Tell",Miami (Ohio) University,Department of History,USA,Module,UG,,2009,25.7147949,-80.276947,,http://www.users.miamioh.edu/baileraj/classes/jrn-sta-380/JRN-STA-380-Syllabus-08Oct08.pdf,A. John Bailer,Academic,Kevin Quealy,@john_bailer
BH117,Intro to Digital Humanities,University of California Los Angeles,Digital Humanities,USA,Module,UG,,2017,34.0708887,-118.446732,http://dh101.humanities.ucla.edu/,,Johanna Drucker,Academic,,
BH118,"Digital History: Concepts, Methods, Problems",Stanford University,Department of History,USA,Module,UG/PG,,2016,37.431089,-122.1693009,http://jasonheppler.org/courses/dph.2016/,,Jason A. Heppler,Academic,,@jaheppler
BH119,Data Analysis for Journalists,Indiana University,The Media School,USA,Module,PG,,2017,39.869481,-84.8795691,http://registrar.indiana.edu/browser/soc4178/MSCH/MSCH-J502.shtml,http://archive.is/bWUSj,Gerry Lanosga @gerrylanosga,Academic,,@GerryLanosga
BH12,"Doing Journalism with Data: First Steps, Skills and Tools",European Journalism Centre,Free Online program,Netherlands,Programme,CPD,,2017,50.848166,5.712109,http://datajournalismcourse.net/index.php,,Simon Rogers,,,
BH120,Digital Media Workshop,University of Alabama,School of Journalism and Creative Media,USA,Module,UG,,2016,33.2120822,-87.539674,https://catalog.ua.edu/search/?scontext=courses&search=JN+430&fscaturl=%2Fundergraduate%2F&gscaturl=%2Fundergraduate%2F,https://jn430.ua.edu/wp-content/uploads/2016/01/JN-430-Spring-2016.pdf,Chip Brantley,Academic,Drake Martinet,@chipbrantley
BH121,Data Driven Journalism,American University,School of Communication,USA,Module,PG,,2016,38.938045,-77.0893922,http://www.american.edu/soc/resources/upload/Fall-2017-Journalism-Courses-pt1.pdf,http://aladinrc.wrlc.org/handle/1961/6529?show=full,Wendell Cochran,Professional,,@wcochran
BH122,Investigative Reporting Techniques,Florida International University,School of Journalism and Media,USA,Module,PG,,2017,25.7553377,-80.376289,https://journalism.fiu.edu/spanish-language-journalism-and-multimedia-course-description/,http://faculty.fiu.edu/~vigonm/JOU6118/index.html,Mercedes VigÍ_n,Professional,,@vigonm
BH123,Information Gathering,University of Oregon,School of Journalism and Communication,USA,Module,BA,,2000,44.0445359,-123.0717345,http://journalism.uoregon.edu/~jupshaw/j202/index.html,http://journalism.uoregon.edu/~jupshaw/j202/syllabus.html,Jim Upshaw,Academic,,
