Julius Tröger,Berliner Morgenpost,"Berlin, Germany",N/A
Justin Myers,The Associated Press,"United States, Brooklyn (US-VA)",http://github.com/myersjustinc
Tolga Celik,Ege University,"Izmir, Turkey",N/A
Winnie Kamau,Africa Data Journalists Network,"Nairobi, Kenya",N/A
Annabel Church,N/A,"N/A, Germany",http://www.github.com/arc64
Nolan Markham,Vocativ,"New York City, United States",N/A
Daichi Ito,The Huffington Post Japan,"Tokyo, Japan",N/A
Mina Demian,Africa Check,"Johannesburg, South Africa",http://www.github.com/minademian
Martín González,Freelance,"Barcelona, Spain",https://www.github.com/martgnz
Ola Samzelius,UNT,"Stockholm, Sweden",N/A
Melih Cilga,Platform for Independent Journalism (P24),"Istanbul, Turkey",N/A
Adolfo Antón Bravo,Infotics,"Madrid, Spain",http://www.github.com/flowsta
Sandra Crucianelli,ICFJ,"Bahia Blanca, Argentina",N/A
MaryJo Webster,N/A,"Minneapolis, United States",N/A
Michael Mott,The Willits News,"Willits, United States",http://www.github.com/mwmott
Troy Thibodeaux,The Associated Press,"New Orleans, United States",http://www.github.com/tthibo
John Heasly,The Register-Guard,"Eugene, United States",http://www.github.com/jheasly
Tom Cardoso,The Globe and Mail,"Toronto, Canada",http://www.github.com/tomcardoso
Jeremia Kimelman,Code for America,"San Francisco, United States",http://www.github.com/jeremiak
Vanessa Wormer,Heilbronner Stimme,"Heilbronn, Germany",http://www.github.com/vwormer
Leonard Wallentin,Journalism++ Stockholm,"Stockholm, Sweden",http://www.github.com/rotsee
Julien Gathelier,Freelance,"New York, United States",http://www.github.com/juliengathelier
Stanislaw M. Stanuch,małopolskie,"Kraków, Poland",http://www.github.com/sms1962
Tom Meagher,The Marshall Project,"New York, United States",http://www.github.com/tommeagher
Edouard Richard,Journalism++,"Paris, France",http://www.github.com/vied12
Maureen Linke,The Associated Press,"Arlington (US-VA), United States",http://www.github.com/maureenlinke
Jeremy Chapman,Montana Center for Investigative Reporting,"Billings, United States",N/A
Miriam Jemio,Revista Herencia,"La Paz, Bolivia",N/A
Thomas Preusse,Neue Zürcher Zeitung,"Zurich, Switzerland",http://www.github.com/tpreusse
Alexandre Haederli,Le Matin Dimanche,"Berne, Switzerland",http://www.github.com/alexhaed
Joe Wertz,StateImpact Oklahoma,"Oklahoma City, United States",N/A
Daniel Villatoro,N/A,"Guatemala City, Guatemala",N/A
Peter Aldhous,Freelance,"San Francisco, United States",http://www.github.com/paldhous
Jeremy Rue,UC Berkeley,"Berkeley, United States",http://www.github.com/jrue
Cory Kendrick,N/A,"San Francisco, United States",http://www.github.com/corykendrick
Samantha Sunne,N/A,"New York, United States",N/A
David Barreda,ChinaFile,"New York, United States",http://www.github.com/inkaman
Moiz Syed,N/A,"N/A, United States",http://www.github.com/moizsyed
Brant Houston,University of Illinois,"Champaign, United States",N/A
Llewellyn Hinkes-Jones,N/A,"Washington, D.C., United States",http://www.github.com/ortsed
Fergus Pitt,Tow Center For Digital Journalism,"New York, United States",N/A
Erin Richey,Freelance,"St. Louis, United States",https://www.github.com/erinrichey
Tony Papousek,N/A,"Lincoln (US-NE), United States",http://www.github.com/tonypapousek
Hunter Owens,N/A,"Chicago, United States",http://www.github.com/hunterowens
Ajdin Perco,Novo Vrijeme,"Sarajevo, Bosnia and Herzegovina",N/A
Nelly Luna,Ojo Público,"Lima, Peru",N/A
Oleg Gant,TeplitsaST,"Moscow, Russia",N/A
Konrad Weber,SRF,"Zurich, Switzerland",http://www.github.com/konradweber
Ricardo Lafuente,Journalism++ Porto,"Porto, Portugal",http://www.github.com/rlafuente
Asha Phillips,Verily,"Singapore, Singapore",N/A
Yuichi Yazaki,N/A,"Tokyo, Japan",http://www.github.com/n1n9-jp
Lilia Saúl,El Universal,"Mexico City, Mexico",N/A
Olivia Rosenman,N/A,"Hong Kong, China",N/A
Perry King,Freelance,"Toronto, Canada",N/A
Sara Goo,Pew Research Center,"Washington, D.C., United States",N/A
Danielle Alberti,N/A,"Washington, D.C., United States",http://www.github.com/albertid
Ben Casselman,FiveThirtyEight,"New York, United States",http://www.github.com/BenCasselman
Rachel Schallom,Sun Sentinel,"Fort Lauderdale, United States",http://www.bitbucket.org/sunsentdevs
Eduard Martín-Borregón,Data'n'Press,"Barcelona, Spain",http://www.github.com/emartinborregon
Miriam Forero Ariza,Poderopedia Colombia,"Bogota, Colombia",N/A
Denis Rizzoli,Freelance,"Milan, Italy",N/A
Arnaud Wéry,Huy,"Waremme, Belgium",N/A
Gary Dagorn,Ouest-France,"Caen, France",http://www.github.com/garydagorn
Maarten Lambrechts,Mediafin,"Brussels, Belgium",N/A
Mike Reilley,DePaul University College of Communication,"Chicago, United States",N/A
Nigel Hawtin,New Scientist,"London, United Kingdom",N/A
Karen Bastien,WeDoData,"Paris, France",N/A
François Prosper,WeDoData,"Paris, France",N/A
Brice Terdjman,WeDoData,"Paris, France",N/A
Gabriel Ciccariello,El Observador,"Montevideo, Uruguay",N/A
Mauro Decker Díaz,N/A,"Bahia Blanca, Argentina",N/A
Juan Esteban Lewin,La Silla Vacia,"Bogota, Colombia",N/A
Andres Bermudez Lievano,La Silla Vacia,"Bogota, Colombia",N/A
Damien Brunon,Europe1,"Paris, France",N/A
Adriana Homolova,N/A,"Amsterdam, The Netherlands",N/A
Bernd Oswald,Freelance,"Munich, Germany",http://www.github.com/nepomunich
Silvia Font,N/A,"Utrecht, The Netherlands",N/A
Donata Columbro,N/A,"Turin, Italy",N/A
Clara Attene,N/A,"Turin, Italy",N/A
Giulia Annovi,N/A,"Modena, Italy",N/A
Cristina Da Rold,Freelance,"Belluno, Italy",N/A
Paul-Antoine Chevalier,Ask Média,"Paris, France",http://www.github.com/blaquans
Marie Coussin,Ask Média,"Paris, France",N/A
Andrea Angeli,N/A,"Siena, Italy",http://www.github.com/andreaangeli
Giuseppe Futia,Nexa Center for Internet & Society,"N/A, Italy",http://www.github.com/giuseppefutia
Francesco Maltoni,N/A,"N/A, Italy",N/A
Gianluca De Martino,Freelance,"N/A, Italy",N/A
Alain Clapaud,Freelance,"Paris, France",N/A
Alessandro Cappai,N/A,"Turin, Italy",N/A
Alessio Cimarelli,Dataninja.it,"Squillace, Italy",http://www.github.com/jenkin
Marc Ellison,N/A,"Glasgow, United Kingdom",N/A
Masayuki Shimizu,N/A,"Gunma, Japan",http://www.github.com/shimizu
Ferran Caymel Ubia,appaqui,"Barcelona, Spain",N/A
Yamri Taddese,Thomson Reuters,"Toronto, Canada",N/A
Chris Parry,Stockhouse,"Vancouver, Canada",N/A
Claes Holtzmann,JydskeVestkysten,"Esbjerg, Denmark",N/A
Stefano Ceccon,The Times,"London, United Kingdom",N/A
Sascha Venohr,ZEIT ONLINE,"Berlin, Germany",N/A
Andrea Nelson Mauro,Dataninja.it,"Bologna, Italy",http://www.github.com/dataninja
Chad Skelton,The Vancouver Sun,"Vancouver, Canada",http://www.github.com/chadskelton
Concha Catalan,Opengov.cat,"Barcelona, Spain",http://www.github.com/littleshell
Harkanwal Singh,New Zealand Herald,"Auckland, New Zealand",http://www.github.com/kamal-hothi
Moritz Klack,webkid,"Berlin, Germany",http://www.github.com/moklick
