Title,Company,Location,Post_Date,URL,Current Status,Source,Real,data,dataset,data analysis
Copywriter/Editor,Crawford Group,"Newark, CA",2018-11-14 14:37:34,https://www.indeed.com/viewjob?jk=d8ac5ebcd62dbda2,nan,indeed,True,nan,nan,nan
Reporter,"KSTP-TV, LLC","Saint Paul, MN 55114 (Saint Anthony area)",2018-11-14 07:37:10,https://www.indeed.com/viewjob?jk=f3bc6f3dad6a0921,nan,indeed,True,nan,nan,nan
P/T Photographer/Editor,Nexstar Broadcasting,"Salt Lake City, UT",2018-11-14 05:37:51,https://www.indeed.com/viewjob?jk=fa98fdfebbf45b29,nan,indeed,True,nan,nan,nan
News Production Assistant,Nexstar Broadcasting,"East Syracuse, NY",2018-11-14 05:37:19,https://www.indeed.com/viewjob?jk=31cf5df37d0c01c9,nan,indeed,True,1.0,nan,nan
Multimedia Journalist,Nexstar Broadcasting,"Myrtle Beach, SC",2018-11-14 05:37:04,https://www.indeed.com/viewjob?jk=a6c1b845b5603abf,nan,indeed,True,nan,nan,nan
KTAB Multimedia Journalist,Nexstar Broadcasting,"Abilene, TX",2018-11-14 05:37:04,https://www.indeed.com/viewjob?jk=0ddea462ed2067ad,nan,indeed,True,nan,nan,nan
KPBS Video Journalist,SDSU Research Foundation,"San Diego, CA",2018-11-14 03:37:12,https://www.indeed.com/viewjob?jk=eae9e09927c084f3,nan,indeed,True,nan,nan,nan
News & Strategic Communications Coordinator,Scripps College,"Claremont, CA 91711",2018-11-14 02:38:16,https://www.indeed.com/viewjob?jk=287a395946a4fbb1,nan,indeed,True,nan,nan,nan
Credit/Finance Reporter,Refinitiv,"New York, NY",2018-11-14 02:37:27,https://www.indeed.com/viewjob?jk=e4297323040b15d8,nan,indeed,True,2.0,nan,nan
Anchor/Reporter,Univision communications inc,United States,2018-11-14 02:37:04,https://www.indeed.com/viewjob?jk=78fa09c852035d88,nan,indeed,True,nan,nan,nan
Reporter,Dispatch-Argus,"East Moline, IL",2018-11-13 17:37:12,https://www.indeed.com/viewjob?jk=526f97df4a61d437,nan,indeed,True,nan,nan,nan
Traffic Anchor / Multiskilled Journalist,TEGNA,"Tampa, FL",2018-11-13 17:37:00,https://www.indeed.com/viewjob?jk=fefad415922a307e,nan,indeed,True,nan,nan,nan
News Producer,Univision communications inc,"Chicago, IL",2018-11-12 17:39:29,https://www.indeed.com/viewjob?jk=aa916b661dcdad93,nan,indeed,True,1.0,nan,nan
Multimedia Journalist KVVU,Meredith Corporation,"Henderson, NV",2018-11-12 17:37:08,https://www.indeed.com/viewjob?jk=d596a431b22c5ec6,nan,indeed,True,nan,nan,nan
"Cyber Journalist,Writer",WSVN 7News,"Miami, FL",2018-11-12 17:37:00,https://www.indeed.com/viewjob?jk=c0729b0a87f50071,nan,indeed,True,1.0,nan,nan
Multi Media Journalist - Spectrum News,Spectrum,"Salisbury, NC",2018-11-11 17:38:18,https://www.indeed.com/viewjob?jk=43bfbc0ec43dd37e,nan,indeed,True,nan,nan,nan
Broadcast Journalist,Air Force Reserve,United States,2018-11-11 17:37:36,https://www.indeed.com/viewjob?jk=59e2c4f6b31ba259,nan,indeed,True,nan,nan,nan
Community Journalist,Media Networks,"New York, NY",2018-11-11 17:37:00,https://www.indeed.com/viewjob?jk=9a9a303fba57d6ef,nan,indeed,True,nan,nan,nan
Editorial Director,Mass Mutual,"New York, NY 10261 (Murray Hill area)",2018-11-10 17:38:31,https://www.indeed.com/viewjob?jk=e71d70f566004b69,nan,indeed,True,1.0,nan,nan
News Director,TEGNA,"Corpus Christi, TX",2018-11-10 17:38:26,https://www.indeed.com/viewjob?jk=9cb00c3f58cbce80,nan,indeed,True,nan,nan,nan
VP - Business Operations & Insights (ABC News),Media Networks,"New York, NY",2018-11-10 17:38:00,https://www.indeed.com/viewjob?jk=595a5b8b21768f75,nan,indeed,True,5.0,nan,nan
Ad Age Data Reporter,Crain Communications,"New York, NY",2018-11-10 17:37:46,https://www.indeed.com/viewjob?jk=4fdfc2e52ab8e629,nan,indeed,True,12.0,nan,nan
"Reporter, U.S. Power Sector",S&P GLOBAL MARKET INTELLIGENCE,"Arlington, VA 22202 (Aurora Highlands area)",2018-11-10 17:37:36,https://www.indeed.com/viewjob?jk=388cb157d62f67c9,nan,indeed,True,1.0,nan,nan
Senior Investigative Reporter,The Markup,"New York, NY",2018-11-10 17:37:23,https://www.indeed.com/viewjob?jk=b4991b7ec7a07cdb,nan,indeed,True,12.0,1.0,nan
Investigative Reporter,The Markup,"New York, NY",2018-11-10 17:37:10,https://www.indeed.com/viewjob?jk=c9d0d34abce26648,nan,indeed,True,11.0,1.0,nan
Multi-Skilled Journalist,TEGNA,"Bryan, TX",2018-11-10 17:37:08,https://www.indeed.com/viewjob?jk=509ea6fadda1e330,nan,indeed,True,nan,nan,nan
Investigative Multi-Media Journalist,Nexstar Broadcasting,"Grand Rapids, MI",2018-11-10 17:37:06,https://www.indeed.com/viewjob?jk=f6ea051dd8b4fdae,nan,indeed,True,nan,nan,nan
Video Journalist,TEGNA,"San Antonio, TX",2018-11-10 17:37:06,https://www.indeed.com/viewjob?jk=779ada2a8427b266,nan,indeed,True,nan,nan,nan
Investigative Data Journalist,The Markup,"New York, NY",2018-11-10 17:37:02,https://www.indeed.com/viewjob?jk=32b638197982e277,nan,indeed,True,14.0,2.0,nan
"Data Engineer, Newsroom",Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-11-09 17:39:20,https://www.indeed.com/viewjob?jk=009ee0f1f1d71151,nan,indeed,True,22.0,nan,nan
News Producer,Nexstar Broadcasting,"Albuquerque, NM",2018-11-09 17:38:49,https://www.indeed.com/viewjob?jk=3bdba951a7410a7a,nan,indeed,True,nan,nan,nan
Sports Reporter / MSJ,TEGNA,"Phoenix, AZ",2018-11-09 17:37:55,https://www.indeed.com/viewjob?jk=8227ea786f066010,nan,indeed,True,nan,nan,nan
"Video Journalist, News & Analysis",Dow Jones,"Washington, DC 20044 (Downtown area)",2018-11-09 17:37:51,https://www.indeed.com/viewjob?jk=a929b9c85c9cf4a3,nan,indeed,True,nan,nan,nan
Weekend Evening Anchor / Reporter / MSJ,TEGNA,"Phoenix, AZ",2018-11-09 17:37:29,https://www.indeed.com/viewjob?jk=db3800738b179c64,nan,indeed,True,nan,nan,nan
"Senior Video Journalist, In-Depth Explanations",Dow Jones,"Washington, DC 20044 (Downtown area)",2018-11-09 17:37:14,https://www.indeed.com/viewjob?jk=b2d98f16d2a106a8,nan,indeed,True,nan,nan,nan
Digital Multiskilled Journalist,TEGNA,"Tampa, FL",2018-11-09 17:37:10,https://www.indeed.com/viewjob?jk=e910588de8cf294f,nan,indeed,True,1.0,nan,nan
Multimedia Journalist,Univision communications inc,"Dallas, TX",2018-11-09 17:37:10,https://www.indeed.com/viewjob?jk=9fc6d50665c37e45,nan,indeed,True,nan,nan,nan
Multimedia Journalist/Reporter,Meredith Corporation,"Greenville, SC",2018-11-09 17:37:08,https://www.indeed.com/viewjob?jk=ca73b01c464ae083,nan,indeed,True,nan,nan,nan
Senior Data Journalist,Textio,"Seattle, WA 98104 (First Hill area)",2018-11-09 17:37:00,https://www.indeed.com/viewjob?jk=38e305b7cedab99a,nan,indeed,True,11.0,nan,nan
Emerging Journalist Fellow,KCTS 9,"Seattle, WA",2018-11-09 17:37:00,https://www.indeed.com/viewjob?jk=5f11f0c5fc856cf4,nan,indeed,True,2.0,nan,nan
Reporter (Part-Time),Tribune Media Company,"Salt Lake City, UT",2018-11-08 17:38:20,https://www.indeed.com/viewjob?jk=c1065e7896e18ddc,nan,indeed,True,nan,nan,nan
Editorial Staff Writer,Outdoor Sportsman Group,"Tulsa, OK",2018-11-08 17:37:36,https://www.indeed.com/viewjob?jk=ecf7a1f532325945,nan,indeed,True,nan,nan,nan
Reporter / Multimedia Journalist,Meredith Corporation,"Greenville, SC",2018-11-08 17:37:08,https://www.indeed.com/viewjob?jk=a48df2724b3dd26f,nan,indeed,True,nan,nan,nan
News Content Producer - WMAQ,NBCUniversal,"Chicago, IL",2018-11-07 17:39:52,https://www.indeed.com/viewjob?jk=1b0d2f2243acc227,nan,indeed,True,nan,nan,nan
News Reporter,Columbus Telegram,"Columbus, NE",2018-11-07 17:37:46,https://www.indeed.com/viewjob?jk=b64347ffdd255099,nan,indeed,True,nan,nan,nan
Anchor/ Multi-Skilled Journalist,TEGNA,"Grand Rapids, MI",2018-11-07 17:37:12,https://www.indeed.com/viewjob?jk=906639dd574f5726,nan,indeed,True,nan,nan,nan
Multiskilled Journalist,TEGNA,"St. Louis, MO",2018-11-07 17:37:04,https://www.indeed.com/viewjob?jk=f8fe90273588faf2,nan,indeed,True,nan,nan,nan
Editor,Colorado Public Radio,"Denver Metro, Colorado",2018-11-07 17:36:57,https://careers.journalists.org/jobs/11668329/editor,nan,careers,True,nan,nan,nan
"Digital Executive Editor, The World",Public Radio International,"Boston, Massachusetts",2018-11-07 17:36:57,https://careers.journalists.org/jobs/11664654/digital-executive-editor-the-world,nan,careers,True,nan,nan,nan
Producer - AM News,Univision communications inc,"San Antonio, TX",2018-11-06 17:39:34,https://www.indeed.com/viewjob?jk=183b9e9d46e543ce,nan,indeed,True,nan,nan,nan
CONTENT CURATOR & EDITOR (MARKETING DIVISION),Sunrise Banks,"Saint Paul, MN",2018-11-06 17:39:15,https://www.indeed.com/viewjob?jk=135e02ecd7e92ec0,nan,indeed,True,nan,nan,nan
Fellowship -- Designer/Digital News Design,The New York Times,"New York, NY",2018-11-06 17:38:52,https://www.indeed.com/viewjob?jk=f0bb795a666f4e64,nan,indeed,True,nan,nan,nan
Multimedia Journalist/News Producer,Univision communications inc,"Atlanta, GA",2018-11-06 17:38:40,https://www.indeed.com/viewjob?jk=c727d635ffb403b9,nan,indeed,True,nan,nan,nan
Part Time News Producer,WEVV,"Evansville, IN 47708",2018-11-06 17:38:33,https://www.indeed.com/viewjob?jk=95b582b0c2b9c505,nan,indeed,True,nan,nan,nan
Editorial Director,Haven Life,"New York, NY 10010 (Gramercy area)",2018-11-06 17:38:04,https://www.indeed.com/viewjob?jk=3b40f73f92b3e4d9,nan,indeed,True,1.0,nan,nan
