,0,1
1,news,1580
2,work,823
3,media,794
4,stories,783
5,experience,741
6,content,739
7,digital,646
8,skills,574
9,ability,553
10,social,481
11,platforms,479
12,including,439
13,journalism,415
14,team,385
15,video,384
16,information,359
17,story,326
18,strong,307
19,editing,306
20,company,281
21,new,281
22,status,277
23,television,272
24,journalist,267
25,writing,264
26,local,263
27,required,253
28,editorial,250
29,years,243
30,write,242
31,national,237
32,position,234
33,knowledge,234
34,develop,232
35,responsibilities,229
36,job,223
37,live,220
38,daily,218
39,opportunity,217
40,data,215
41,events,214
42,reporting,213
43,coverage,210
44,ideas,199
45,group,197
46,editor,194
47,business,192
48,production,190
49,newsroom,187
50,looking,185
51,reports,183
52,employer,182
53,edit,181
54,requirements,179
55,equal,178
56,use,178
57,broadcast,177
58,journalists,176
59,working,175
60,degree,174
61,online,172
62,people,172
63,creative,170
64,environment,166
65,related,166
66,breaking,163
67,help,162
68,research,158
69,duties,158
70,station,157
71,markets,156
72,produce,156
73,candidates,156
74,disability,156
75,innovative,152
76,audience,151
77,stations,151
78,multimedia,151
79,community,150
80,understanding,149
81,make,146
82,color,146
83,excellent,145
84,marketing,144
85,candidate,144
86,multiple,143
87,reporter,143
88,field,143
89,nexstar,142
90,top,142
91,gender,141
92,management,140
93,industry,140
94,time,134
95,sources,134
96,deadlines,134
97,employment,134
98,age,132
99,under,130
100,assigned,128
101,tools,127
102,origin,127
103,religion,127
104,projects,126
105,veteran,125
106,qualified,124
107,role,124
108,race,122
109,reporters,121
110,editors,121
111,communication,120
112,tv,120
113,relevant,120
114,world,120
115,professional,119
116,create,119
117,equipment,118
118,provide,117
119,sports,117
120,global,117
121,storytelling,114
122,engaging,114
123,web,113
124,should,112
125,application,112
126,essential,111
127,public,111
128,communications,109
129,network,109
130,orientation,109
131,million,109
132,delivers,108
133,quality,106
134,sexual,106
135,qualifications,105
136,largest,105
137,shoot,104
138,minimum,104
139,scripps,104
140,times,103
141,best,102
142,committed,101
143,meet,101
144,using,101
145,diverse,101
146,sex,101
147,include,100
148,basis,100
149,plus,99
150,journal,99
151,technology,98
152,cover,98
153,graphics,98
154,market,97
155,interviews,96
156,identity,96
157,standards,95
158,college,94
159,various,94
160,readers,93
161,record,93
162,day,93
163,reach,93
164,consumers,93
165,responsible,93
166,solutions,93
167,marital,93
168,great,93
169,organization,92
170,radio,91
171,producer,91
172,staff,91
173,protected,91
174,apply,91
175,deadline,91
176,compelling,90
177,households,90
178,demonstrated,90
179,interest,89
180,manage,89
181,unique,89
182,style,88
183,growing,88
184,manner,88
185,enterprise,88
186,applicants,88
187,investigative,86
188,want,86
189,analysis,86
190,seeking,85
191,interview,85
192,into,84
193,employees,84
194,variety,83
195,journalistic,83
196,education,83
197,description,83
198,results,82
199,development,81
200,deliver,81
201,join,81
202,most,81
203,successful,80
204,decisions,80
205,perform,80
206,bachelor,80
207,judgment,80
208,original,80
209,issues,79
210,tell,79
211,broadcasting,79
212,videos,79
213,copy,78
214,written,78
215,learn,78
216,producing,78
217,background,78
218,brand,77
219,producers,77
220,individuals,77
221,equivalent,77
222,financial,77
223,english,76
224,writes,76
225,systems,76
226,visual,76
227,handle,75
228,personal,75
229,lead,74
230,edits,74
231,accurate,74
232,report,74
233,genetic,74
234,proven,74
235,product,73
236,impact,73
237,eeo,73
238,high,73
239,facts,73
240,photography,73
241,businesses,72
242,key,71
243,part,71
244,regard,71
245,wall,71
246,street,71
247,office,70
248,support,70
249,pressure,70
250,special,70
251,build,70
252,communities,70
253,includes,70
254,program,69
255,senior,69
256,ensure,68
257,closely,68
258,least,68
259,approximately,68
260,strategy,68
261,weather,67
262,clear,67
263,ideal,67
264,exciting,67
265,products,67
266,current,66
267,25,66
268,law,66
269,leading,66
270,shooting,65
271,own,65
272,needed,65
273,ap,65
274,health,65
275,awards,65
276,assignment,65
277,drive,65
278,driving,64
279,general,64
280,political,64
281,opportunities,64
282,fastpaced,64
283,portfolio,63
284,highly,63
285,process,63
286,tasks,63
287,serves,63
288,providing,62
289,accommodation,62
290,reaching,62
291,applications,62
292,investigations,62
293,facebook,62
294,developing,62
295,mobile,61
296,maintain,61
297,organizational,61
298,managing,61
299,assignments,60
300,diversity,60
301,building,59
302,shoots,59
303,experienced,59
304,source,59
305,hours,58
306,50,58
307,willing,58
308,country,57
309,contacts,57
310,letter,57
311,operation,57
312,operate,57
313,twitter,57
314,tribune,57
315,take,56
316,conduct,56
317,around,56
318,major,56
319,areas,56
320,design,55
321,website,55
322,physical,55
323,conditions,55
324,services,55
325,networks,55
326,passion,55
327,jones,55
328,managers,54
329,presence,54
330,director,54
331,audiences,54
332,nyse,54
333,making,54
334,engagement,54
335,email,54
336,receive,54
337,washington,54
338,training,53
339,produces,53
340,trends,53
341,workforce,53
342,military,53
343,based,53
344,deep,53
345,life,52
346,license,52
347,reasonable,52
348,states,52
349,competitive,52
350,youll,52
351,encourage,52
352,ethics,52
353,newscasts,52
354,federal,52
355,person,52
356,goals,51
357,100,51
358,print,51
359,culture,51
360,benefits,51
361,advertising,51
362,visit,51
363,commitment,51
364,travel,51
365,collaborate,51
366,situations,50
367,provides,50
368,considered,50
369,proud,50
370,comfortable,50
371,range,49
372,valid,49
373,submit,49
374,assist,49
375,material,49
376,service,49
377,timely,49
378,quickly,49
379,needs,49
380,affiliates,49
381,reaches,49
382,dow,49
383,contribute,48
384,go,48
385,participate,48
386,planning,48
387,serve,48
388,state,47
389,reuters,47
390,find,47
391,connect,47
392,consider,47
393,family,47
394,flexible,47
395,articles,47
396,techniques,47
397,consideration,47
398,someone,46
399,plan,46
400,camera,46
401,independent,46
402,regardless,46
403,newscast,46
404,publishing,46
405,individual,46
406,accuracy,45
407,fulltime,45
408,set,45
409,following,45
410,gathering,45
411,expression,45
412,leader,45
413,understand,45
414,would,45
415,generate,45
416,cox,45
417,level,44
418,teams,44
419,leadership,44
420,computer,44
421,vision,44
422,activities,44
423,abilities,44
424,post,44
425,completing,44
426,politics,44
427,materials,43
428,effectively,43
429,llc,43
430,summary,43
431,mission,43
432,creating,43
433,track,43
434,strategies,43
435,disabilities,43
436,free,43
437,pregnancy,43
438,desk,43
439,weekends,43
440,practices,43
441,success,42
442,here,42
443,overview,42
444,school,42
445,addition,42
446,leads,42
447,contact,42
448,channels,42
449,consistently,42
450,require,42
451,right,42
452,assistance,42
453,complex,42
454,entertainment,42
455,expertise,41
456,appearance,41
457,get,41
458,shift,41
459,evaluates,41
460,complete,41
461,technical,41
462,adobe,41
463,identify,41
464,active,41
465,real,41
466,come,41
467,35,41
468,air,41
469,passionate,41
470,career,41
471,analytics,41
472,know,41
473,united,41
474,brands,40
475,diversified,40
476,proficiency,40
477,lift,40
478,insurance,40
479,resource,40
480,owned,40
481,talent,40
482,sound,40
483,websites,39
484,driven,39
485,resume,39
486,show,39
487,images,39
488,topics,39
489,sites,39
490,programming,39
491,only,39
492,works,39
493,impactful,39
494,requires,39
495,city,39
496,citizenship,39
497,dc,39
498,leaders,38
499,communicate,38
500,operator,38
501,nearly,38
502,aspects,38
503,future,38
504,basic,38
505,engage,38
506,locations,38
507,necessary,38
508,operations,38
509,awardwinning,38
510,month,38
511,advertisers,38
512,drug,38
513,features,38
514,year,38
515,shape,38
516,colleagues,38
517,covering,38
518,science,38
519,scripts,37
520,big,37
521,internal,37
522,grammar,37
523,exceptional,37
524,details,37
525,dynamic,37
526,changing,37
527,grow,37
528,parent,37
529,statement,37
530,executive,37
531,fluency,37
532,audio,37
533,programs,37
534,demonstrate,37
535,manager,37
536,like,37
537,enhance,37
538,weekend,37
539,newspaper,37
540,consistent,36
541,storyteller,36
542,large,36
543,emphasis,36
544,performance,36
545,viewers,36
546,focus,36
547,functions,36
548,shots,36
549,familiarity,36
550,reviews,36
551,primary,36
552,expected,36
553,meetings,36
554,area,36
555,pieces,36
556,subject,36
557,important,36
558,proficient,36
559,ways,36
560,properties,36
561,appropriate,35
562,greater,35
563,empowering,35
564,nonlinear,35
565,r,35
566,affiliation,35
567,way,35
568,companies,35
569,international,35
570,arts,35
571,presentation,34
572,positive,34
573,effective,34
574,addressing,34
575,wwwnexstartv,34
576,vocational,34
577,groups,34
578,creation,34
579,format,34
580,priorities,34
581,integrity,34
582,driver,34
583,does,34
584,nationwide,34
585,adults,34
586,tells,34
587,conducts,34
588,line,34
589,latest,34
590,applicable,34
591,bachelors,34
592,lighting,33
593,event,33
594,establish,33
595,employee,33
596,dupont,33
597,unparalleled,33
598,ott,33
599,onestop,33
600,shop,33
601,enrollment,33
602,sense,33
603,creed,33
604,policy,33
605,desired,32
606,technologies,32
607,posting,32
608,google,32
609,regular,32
610,previous,32
611,weekly,32
612,writer,32
613,tgna,32
614,owner,32
615,onethird,32
616,honored,32
617,edward,32
618,murrow,32
619,george,32
620,polk,32
621,alfred,32
622,emmy,32
623,premion,32
624,centralized,32
625,hatch,32
626,wwwtegnacom,32
627,legal,32
628,researching,32
629,collaborative,32
630,instagram,32
631,thing,32
632,discriminate,32
633,talentresourceteamdowjonescom,32
634,nws,32
635,interested,32
636,wide,31
637,interpersonal,31
638,prioritize,31
639,discussions,31
640,guidelines,31
641,superior,31
642,san,31
643,studio,31
644,coordinate,31
645,outstanding,31
646,formats,31
647,due,31
648,captivating,31
649,seeks,31
650,tight,31
651,schedule,31
652,hiring,31
653,subjects,31
654,equity,31
655,costar,31
656,ad,30
657,attention,30
658,skilled,30
659,critical,30
660,supervision,30
661,coworkers,30
662,during,30
663,meaningful,30
664,pro,30
665,possess,30
666,platform,30
667,delivering,30
668,developments,30
669,careers,30
670,customer,30
671,growth,30
672,published,30
673,estate,30
674,outside,29
675,location,29
676,along,29
677,letters,29
678,pounds,29
679,control,29
680,detail,29
681,gathers,29
682,presents,29
683,phone,29
684,press,29
685,solid,29
686,think,29
687,beat,29
688,medical,29
689,feature,29
690,anchor,29
691,fellows,29
692,week,29
693,benefit,28
694,seo,28
695,minoritieswomenveteransdisabled,28
696,demands,28
697,conversations,28
698,prior,28
699,department,28
700,tips,28
701,combination,28
702,ethical,28
703,smart,28
704,excellence,28
705,system,28
706,verbal,28
707,execute,28
708,site,28
709,excel,28
710,holds,28
711,fellowship,28
712,los,28
713,photos,28
714,voice,27
715,drivers,27
716,talented,27
717,present,27
718,relations,27
719,package,27
720,plans,27
721,metrics,27
722,workplace,27
723,paid,27
724,morning,27
725,39,27
726,language,27
727,pictures,27
728,limited,27
729,perspectives,27
730,forms,27
731,169,27
732,389,27
733,home,27
734,angeles,27
735,strategic,26
736,check,26
737,resources,26
738,direction,26
739,energy,26
740,elements,26
741,prescribed,26
742,organizes,26
743,share,26
744,thomson,26
745,customers,26
746,47,26
747,order,26
748,applicant,26
749,player,26
750,love,26
751,number,26
752,examples,26
753,bring,25
754,commercial,25
755,days,25
756,performs,25
757,simultaneously,25
758,electronic,25
759,feel,25
760,after,25
761,associated,25
762,errors,25
763,ensures,25
764,division,25
765,final,25
766,relationships,25
767,oversee,25
768,spanish,25
769,region,25
770,command,25
771,gather,25
772,additional,25
773,dont,25
774,salary,25
775,currently,25
776,suite,25
777,newsworthy,25
778,publication,25
779,runs,25
780,levels,25
781,lifestyle,24
782,flexibility,24
783,oral,24
784,distribution,24
785,receives,24
786,members,24
787,improve,24
788,change,24
789,initiative,24
790,enterprising,24
791,offers,24
792,dental,24
793,affiliate,24
794,youre,24
795,writers,24
796,similar,24
797,specific,24
798,independently,24
799,government,24
800,believe,24
801,laws,24
802,learning,24
803,member,24
804,newsletters,24
805,sit,23
806,occasionally,23
807,researches,23
808,fit,23
809,meets,23
810,university,23
811,highquality,23
812,short,23
813,enps,23
814,constant,23
815,ensuring,23
816,significant,23
817,commentary,23
818,authentic,23
819,holidays,23
820,clearly,23
821,throughout,23
822,affairs,23
823,start,23
824,magazine,23
825,put,23
826,send,23
827,search,23
828,viewer,23
829,wsj,23
830,preparing,23
831,consumer,22
832,pay,22
833,give,22
834,break,22
835,questions,22
836,notes,22
837,determines,22
838,pitches,22
839,positions,22
840,reference,22
841,approval,22
842,interacts,22
843,core,22
844,assists,22
845,series,22
846,publications,22
847,analyze,22
848,organizations,22
849,action,22
850,characteristics,22
851,america,22
852,emerging,22
853,preference,22
854,multitask,22
855,approach,22
856,partnerships,22
857,next,22
858,sector,22
859,intelligence,22
860,streaming,22
861,types,22
862,links,22
863,delivery,22
864,opening,22
865,full,22
866,extensive,21
867,maintaining,21
868,sets,21
869,mail,21
870,outdoors,21
871,weighing,21
872,assistant,21
873,length,21
874,records,21
875,ready,21
876,value,21
877,feedback,21
878,makes,21
879,spelling,21
880,premiere,21
881,software,21
882,initiatives,21
883,students,21
884,problems,21
885,energetic,21
886,inform,21
887,represent,21
888,veterans,21
889,traffic,21
890,highest,21
891,ongoing,21
892,strongly,21
893,between,21
894,available,21
895,security,21
896,cultivate,21
897,babs,21
898,listening,21
899,expert,21
900,directly,21
901,shareable,21
902,credibility,21
903,used,21
904,engages,21
905,authorization,21
906,inclusive,21
907,lives,21
908,county,21
909,offer,21
910,ew,21
911,shows,21
912,freelance,20
913,guide,20
914,appearances,20
915,clips,20
916,operates,20
917,telephone,20
918,facetoface,20
919,objects,20
920,conducted,20
921,extremely,20
922,bright,20
923,voices,20
924,checks,20
925,packages,20
926,promote,20
927,experts,20
928,analytical,20
929,analyzing,20
930,comprehensive,20
931,power,20
932,memorable,20
933,better,20
934,vehicle,20
935,photojournalism,20
936,collaborating,20
937,accounts,20
938,resumes,20
939,text,20
940,monthly,20
941,willingness,20
942,internship,20
943,see,19
944,regarding,19
945,personnel,19
946,fax,19
947,machines,19
948,photographer,19
949,memos,19
950,controlled,19
951,inadequate,19
952,artistic,19
953,books,19
954,files,19
955,obtain,19
956,selfstarter,19
957,cut,19
958,list,19
959,page,19
960,finance,19
961,insights,19
962,401k,19
963,just,19
964,fast,19
965,bilingual,19
966,regional,19
967,focused,19
968,different,19
969,exclusive,19
970,helping,19
971,varied,19
972,experiences,19
973,together,19
974,increase,19
975,creativity,19
976,owns,19
977,collection,19
978,skill,19
979,headlines,19
980,organized,19
981,microsoft,19
982,food,19
983,inclusion,19
984,legally,19
985,founded,19
986,intern,19
987,advanced,18
988,longform,18
989,emedia,18
990,computers,18
991,indoors,18
992,environmentally,18
993,repetitive,18
994,movements,18
995,analyzes,18
996,newsgathering,18
997,calls,18
998,long,18
999,efforts,18
1000,develops,18
1001,attend,18
1002,place,18
1003,photoshop,18
1004,carry,18
1005,open,18
1006,seek,18
1007,spectrum,18
1008,project,18
1009,hound,18
1010,meeting,18
1011,category,18
1012,nbc,18
1013,publish,18
1014,posts,18
1015,concise,18
1016,november,18
1017,immediate,18
1018,manages,18
1019,nbcuniversal,18
1020,american,18
1021,conducting,18
1022,name,18
1023,ca,17
1024,clients,17
1025,anchors,17
1026,telephones,17
1027,copiers,17
1028,scanners,17
1029,controls,17
1030,pertinent,17
1031,attendance,17
1032,depending,17
1033,monitor,17
1034,keep,17
1035,off,17
1036,drugfree,17
1037,serving,17
1038,difference,17
1039,late,17
1040,shifts,17
1041,small,17
1042,achieve,17
1043,conferences,17
1044,characteristic,17
1045,dedicated,17
1046,ancestry,17
1047,webcam,17
1048,supervisor,17
1049,speaking,17
1050,contentdriven,17
1051,edius,17
1052,axis,17
1053,calmly,17
1054,collaboration,17
1055,preeminent,17
1056,corp,17
1057,nasdaq,17
1058,executing,17
1059,additionally,17
1060,photographers,17
1061,class,17
1062,achieving,17
1063,true,17
1064,predisposition,17
1065,carrier,17
1066,fastgrowing,17
1067,nations,17
1068,pitch,17
1069,photo,17
1070,korea,17
1071,cnn,17
1072,clean,16
1073,shot,16
1074,punctuation,16
1075,accordingly,16
1076,viewersusers,16
1077,lib,16
1078,spot,16
1079,faculty,16
1080,departments,16
1081,there,16
1082,collaboratively,16
1083,uses,16
1084,determine,16
1085,20,16
1086,access,16
1087,observation,16
1088,before,16
1089,workflows,16
1090,according,16
1091,knowledgeable,16
1092,words,16
1093,interesting,16
1094,internet,16
1095,early,16
1096,60,16
1097,multiplatform,16
1098,front,16
1099,art,16
1100,user,16
1101,motivated,16
1102,coach,16
1103,fair,16
1104,2019,16
1105,findings,16
1106,type,16
1107,attaching,16
1108,lija1wsj,16
1109,eeoaamfdisabledvets,16
1110,newswsj,16
1111,heritage,16
1112,36,16
1113,pulitzer,16
1114,prizes,16
1115,nwsa,16
1116,asx,16
1117,nwslv,16
1118,unit,16
1119,32,16
1120,membership,16
1121,reflects,16
1122,alienage,16
1123,affectional,16
1124,trait,16
1125,ambitious,16
1126,date,16
1127,corporate,16
1128,fully,15
1129,still,15
1130,describing,15
1131,corrects,15
1132,formatting,15
1133,taken,15
1134,informative,15
1135,cameras,15
1136,compliance,15
1137,standard,15
1138,title,15
1139,coordinating,15
1140,segments,15
1141,center,15
1142,external,15
1143,private,15
1144,samples,15
1145,compensation,15
1146,things,15
1147,winning,15
1148,means,15
1149,established,15
1150,evaluate,15
1151,topic,15
1152,trusted,15
1153,eye,15
1154,direct,15
1155,agencies,15
1156,held,15
1157,readership,15
1158,become,15
1159,enjoy,15
1160,judgement,15
1161,markup,15
1162,several,15
1163,transmit,15
1164,videography,15
1165,light,15
1166,takes,15
1167,expanding,15
1168,juggle,15
1169,indepth,15
1170,north,15
1171,unrestricted,15
1172,last,15
1173,ranks,15
1174,women,15
1175,selfmotivated,15
1176,bureau,15
1177,decades,15
1178,accuweather,15
1179,argus,15
1180,partner,14
1181,review,14
1182,given,14
1183,thrive,14
1184,rapidly,14
1185,link,14
1186,remote,14
1187,near,14
1188,feeds,14
1189,arranges,14
1190,isolate,14
1191,discusses,14
