,0,1
1,data,190
2,experience,93
3,work,65
4,team,63
5,skills,40
6,news,38
7,journalism,36
8,new,31
9,science,29
10,help,27
11,communications,27
12,media,27
13,ability,26
14,newsroom,26
15,job,25
16,years,25
17,building,23
18,journalists,23
19,status,23
20,research,22
21,working,22
22,tools,22
23,least,20
24,national,20
25,strong,20
26,stories,20
27,students,20
28,use,19
29,position,19
30,writing,19
31,journal,18
32,build,17
33,story,17
34,analysis,17
35,people,16
36,knowledge,16
37,gender,16
38,age,16
39,know,16
40,best,16
41,audience,16
42,application,16
43,including,15
44,disability,15
45,information,15
46,projects,15
47,syracuse,15
48,university,15
49,internet,15
50,learning,14
51,committed,14
52,environment,14
53,content,14
54,digital,14
55,reporting,14
56,investigative,14
57,google,14
58,network,14
59,responsibilities,13
60,into,13
61,business,13
62,professional,13
63,engineering,13
64,group,13
65,company,13
66,social,13
67,youll,13
68,school,13
69,code,12
70,public,12
71,looking,12
72,develop,12
73,write,12
74,street,12
75,like,12
76,jones,12
77,online,12
78,technology,12
79,dont,12
80,software,12
81,opportunity,11
82,applicants,11
83,employment,11
84,race,11
85,color,11
86,religion,11
87,origin,11
88,veteran,11
89,zillow,11
90,press,11
91,excellent,11
92,employees,11
93,wall,11
94,responsible,11
95,highly,11
96,organization,11
97,cloudflare,11
98,analytics,11
99,around,10
100,teams,10
101,product,10
102,expertise,10
103,big,10
104,python,10
105,equal,10
106,sexual,10
107,find,10
108,journalist,10
109,multiple,10
110,degree,10
111,strategy,10
112,successful,10
113,candidate,10
114,storage,10
115,based,10
116,state,10
117,intern,10
118,learn,9
119,include,9
120,get,9
121,diverse,9
122,required,9
123,leadership,9
124,employer,9
125,identity,9
126,orientation,9
127,practices,9
128,comfortable,9
129,understanding,9
130,database,9
131,interview,9
132,make,9
133,managing,9
134,better,9
135,communication,9
136,platforms,9
137,global,9
138,ad,9
139,platform,9
140,commitment,9
141,description,8
142,engineers,8
143,machine,8
144,ibm,8
145,create,8
146,pipelines,8
147,project,8
148,member,8
149,technical,8
150,programming,8
151,creating,8
152,brand,8
153,role,8
154,country,8
155,leading,8
156,using,8
157,ap,8
158,mission,8
159,enterprise,8
160,would,8
161,includes,8
162,language,8
163,familiarity,8
164,management,8
165,creative,8
166,statistical,8
167,time,8
168,join,8
169,technologies,8
170,investigations,8
171,should,8
172,engineer,8
173,sets,8
174,narratives,8
175,love,8
176,department,8
177,newhouse,8
178,policy,8
179,distributed,8
180,systems,8
181,demonstrated,8
182,scholars,8
183,companies,7
184,lead,7
185,clients,7
186,problems,7
187,world,7
188,set,7
189,industry,7
190,statistics,7
191,techniques,7
192,qualified,7
193,relations,7
194,real,7
195,part,7
196,solid,7
197,compelling,7
198,reporters,7
199,web,7
200,benefits,7
201,provide,7
202,sex,7
203,protected,7
204,applicable,7
205,editor,7
206,manage,7
207,collaboration,7
208,essential,7
209,open,7
210,report,7
211,accommodation,7
212,fulltime,7
213,requirements,7
214,plus,7
215,development,7
216,cover,7
217,today,7
218,pay,7
219,powerful,7
220,editors,7
221,databases,7
222,just,7
223,education,7
224,letter,7
225,staff,7
226,youre,7
227,collaborate,7
228,services,7
229,textio,7
230,growing,7
231,leaders,7
232,storytelling,7
233,visual,7
234,qualifications,7
235,faculty,7
236,graduate,7
237,bdj,7
238,local,7
239,nation,7
240,center,7
241,support,7
242,operations,6
243,solving,6
244,wide,6
245,industries,6
246,client,6
247,key,6
248,models,6
249,applications,6
250,become,6
251,solutions,6
252,general,6
253,tech,6
254,r,6
255,deep,6
256,consideration,6
257,regard,6
258,citizenship,6
259,professionals,6
260,innovative,6
261,pr,6
262,maintain,6
263,relevant,6
264,tell,6
265,largest,6
266,office,6
267,individuals,6
268,testing,6
269,helping,6
270,passion,6
271,processing,6
272,source,6
273,understand,6
274,dow,6
275,process,6
276,line,6
277,marketing,6
278,variety,6
279,excel,6
280,innovation,6
281,crain,6
282,great,6
283,own,6
284,markup,6
285,want,6
286,marital,6
287,requests,6
288,languages,6
289,used,6
290,maintaining,6
291,academic,6
292,abilities,6
293,supporting,6
294,customers,6
295,foundation,6
296,community,6
297,bring,6
298,initiatives,6
299,range,6
300,organizations,6
301,associated,6
302,top,6
303,ambitious,6
304,materials,6
305,mother,6
306,design,6
307,cloud,6
308,directly,5
309,health,5
310,care,5
311,scientists,5
312,way,5
313,proud,5
314,receive,5
315,expression,5
316,fastpaced,5
317,estate,5
318,insights,5
319,drive,5
320,produce,5
321,blog,5
322,interest,5
323,quickly,5
324,most,5
325,outside,5
326,inclusive,5
327,law,5
328,there,5
329,ensure,5
330,seeks,5
331,background,5
332,reach,5
333,current,5
334,coverage,5
335,audiences,5
336,various,5
337,reasonable,5
338,completing,5
339,subject,5
340,provides,5
341,video,5
342,culture,5
343,reporter,5
344,sources,5
345,graphic,5
346,training,5
347,discriminate,5
348,against,5
349,access,5
350,city,5
351,seeking,5
352,free,5
353,might,5
354,assist,5
355,developing,5
356,sql,5
357,person,5
358,end,5
359,challenges,5
360,selfstarter,5
361,diversity,5
362,campus,5
363,international,5
364,additional,5
365,complex,5
366,undergraduate,5
367,close,5
368,partners,5
369,independent,5
370,path,5
371,secure,5
372,scale,5
373,store,5
374,largescale,5
375,forward,5
376,internship,5
377,either,5
378,developers,5
379,prior,5
380,elite,4
381,practitioners,4
382,succeed,4
383,optimization,4
384,engage,4
385,few,4
386,sometimes,4
387,communicate,4
388,points,4
389,value,4
390,require,4
391,having,4
392,computer,4
393,following,4
394,expert,4
395,applying,4
396,pipeline,4
397,together,4
398,reports,4
399,someone,4
400,sense,4
401,edit,4
402,meetings,4
403,related,4
404,issues,4
405,deadline,4
406,interpersonal,4
407,field,4
408,things,4
409,level,4
410,careers,4
411,impact,4
412,ancestry,4
413,let,4
414,demonstrate,4
415,sophisticated,4
416,core,4
417,collaborative,4
418,newsworthy,4
419,assistance,4
420,talentresourceteamdowjonescom,4
421,print,4
422,arts,4
423,outstanding,4
424,nws,4
425,contact,4
426,offerings,4
427,analytical,4
428,areas,4
429,ideal,4
430,visualizations,4
431,organizational,4
432,detail,4
433,once,4
434,deadlines,4
435,cleaning,4
436,advertisers,4
437,editorial,4
438,otherwise,4
439,legal,4
440,nonprofit,4
441,hiring,4
442,life,4
443,analyze,4
444,backgrounds,4
445,approach,4
446,dedicated,4
447,come,4
448,physical,4
449,closely,4
450,graphics,4
451,explain,4
452,findings,4
453,scraping,4
454,quality,4
455,clear,4
456,until,4
457,ask,4
458,postgresql,4
459,apply,4
460,email,4
461,willing,4
462,right,4
463,important,4
464,inform,4
465,internal,4
466,start,4
467,year,4
468,fast,4
469,partner,4
470,small,4
471,hires,4
472,recruitment,4
473,record,4
474,broadcast,4
475,networks,4
476,addition,4
477,service,4
478,full,4
479,given,4
480,magazine,4
481,alumni,4
